jj,file,sentence,decision,rationale,binary_decision,jj_category,privacy
creative,9186963,This creative configuration will optimize the downstream impact of this program ?,HYPE,['gratuitous'],1,novelty,No
unique,9181138,"Thus , we have assembled a highly unique and skilled team to accomplish critically needed research that is the first of its kind .",HYPE,"['gratuitous', 'coordinated', 'amplified', 'broader context']",1,novelty,No
accurate,9021702,"In the third aim , we will develop a highly efficient wavelet based Poisson denoised spectral un - mixing algorithm that can potentially enhance both approaches by allowing accurate analysis of images with far lower SNR .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
powerful,9818008,"Our proposed study will combine several complementary and powerful techniques , including native elongating transcription sequencing ( NET - seq ) , precision nuclear run - on sequencing ( PRO - seq ) , in vivo structure probing and affinity purification of complexes deposited on the nascent RNAs during transcription by RNA polymerase II ( pol II ) .",HYPE,['gratuitous'],1,rigour,No
unique,9828910,"In Aim 3 , we will capitalize on the unique setting of transplantation where we can deliver IMD directly to heart organs prior to transplantation .",HYPE,['gratuitous'],1,novelty,No
detailed,10021763,"Each CIVIC will support iterative vaccine design based on detailed immunologic assessment of influenza vaccine candidates through pre-clinical animal studies , early phase clinical trials and healthy volunteer human challenge studies to advance the most promising vaccine candidates into Phase I / II clinical trials .",HYPE,['gratuitous'],1,rigour,No
robust,10047593,"More specifically , the objectives of this project are to continue to tackle the problem of robust discovery and functional validation of variants that cause Mendelian disease phenotypes in mice with an emphasis on those variants that escape detection by exome sequencing .",HYPE,['gratuitous'],1,rigour,No
strong,9326255,"To this end , the proposal outlines a mentored - training program with a strong clinical emphasis to compliment the candidate 's proficiency in medical and optical imaging , placing the candidate within a critical mass of Institute - funded researchers at the Medical Center ( MC ) .",HYPE,['gratuitous'],1,rigour,Yes
advanced,9909053,"This fellowship will also support the technical and academic training and professional development of the applicant , including advanced training in neuroengineering ; general neuroscience training ; formal and informal training in written and oral scientific communication , including writing manuscripts and attendance at conferences ; teaching and mentoring training ; and job market preparation .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
sophisticated,9798156,"By utilizing sophisticated in - vivo surgical and viral manipulations during glucose tolerance tests or pancreatic clamps , this hypothesis will be tested in 3 aims : 1 ) determine if preabsorptive SCFAs activates a colonic-brain - liver axis to lower HGP , 2 ) examine the ability of portal SCFAs to inhibit HDAC activity to lower HGP , and 3 ) determine if gut - brain - liver axis signaling or hepatic HDAC inhibition are responsible for the glucoregulatory benefits of prebiotics due to increased SCFAs .",HYPE,['gratuitous'],1,rigour,No
creative,9264662,"In addition the Administrative Core ( Core A ) will continue to organize innovative Enrichment Activities that will encourage open , interactive and creative solutions to research questions .",HYPE,"['gratuitous', 'coordinated']",1,novelty,No
unique,9270093,"We will probe well - established cellular mechanisms of these induction protocols in hippocampal slices , which provide unique control of the effects of stimulation on different cellular compartments .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
groundbreaking,9151311,"To enhance this project , we recruited a new investigator , Dr. A , who has performed groundbreaking studies on the mechanism of PARP activation by DNA damage using structural and biochemical approaches .",HYPE,['hyperbolic'],1,novelty,Yes
scientific,9278329,The scientific Programs of the Conference organize and orient the broad base of cancer research throughout University into teams focused on rapid translation to the clinic and to populations inside and outside its catchment area .,NOT HYPE,[],0,rigour,Yes
powerful,9587198,"Therefore , the proposed studies , if accomplished , provide a powerful tool to manipulate this important but often neglected perisynaptic glial cell .",HYPE,['gratuitous'],1,rigour,No
nuanced,10178102,"Results will provide a nuanced description of how close relations perceive Veterans ' depression , existing ways that close relations are involved in Veterans ' depression care , and preferences , barriers , and facilitators around engagement of close relations in Veterans ' depression care .",HYPE,['gratuitous'],1,rigour,No
advanced,9940227,"While standard dosimetric techniques will be used for most experiments , the Core will use advanced customized technologies to address the challenges of some of the proposed irradiation modalities .",HYPE,['gratuitous'],1,rigour,No
latest,9328510,"To this end , we will utilize the latest MEG and advanced source reconstruction techniques , neural oscillatory analysis methods , and neuropsychological assessment to delineate the neurophysiological bases of cognitive impairments in patients with MCI and AD .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
nuanced,9230470,"We have used the zebrafish model to detail the host - pathogen interface in tuberculosis , and our discoveries have led to a more nuanced understanding of the role of inflammation , macrophages and granulomas in infection .",HYPE,['gratuitous'],1,rigour,No
unprecedented,9790044,"We will first utilize behavioral assays and whole - brain imaging to provide unprecedented insight on how multiple memories ( e.g. , positive and negative memories ) are stored with single - cell resolution in a brain - wide manner .",HYPE,['hyperbolic'],1,novelty,No
unprecedented,10174008,"Realizing this revolutionary milestone depends on implementing and integrating sensitive , precise , and high - throughput scientific methods , sophisticated instrumentation , and unprecedented information connectivity .",HYPE,"['hyperbolic', 'broader context']",1,novelty,No
advanced,9145657,We propose the use of advanced statistical techniques to evaluate the quasi-experimental study design .,HYPE,['gratuitous'],1,rigour,No
cohesive,9917715,The Program was launched in 2017 to respond to two strategic needs in the Center : ( i ) create an interdisciplinary but cohesive hub for basic and translational tumor immunology research ; and ( ii ) expand a bench - to- bedside effort focused on the tumor microenvironment as a fundamental disease driver and prime therapeutic target .,HYPE,['gratuitous'],1,rigour,Yes
unparalleled,10066145,"Using our unparalleled and powerful dataset and approach , we will explore trends in the risk of AD and their explanation via putative risk and protective factors .",HYPE,"['hyperbolic', 'coordinated']",1,novelty,No
groundbreaking,9389242,"As a consequence of the groundbreaking work of the Laboratory , somatic cells from a simple patient biopsy can be reprogrammed into pluripotent stem cells that can be differentiated into other cell types , including neural cells .",HYPE,['hyperbolic'],1,novelty,Yes
novel,8991059,This research will develop and pilot test a novel network - level community intervention to improve care engagement .,NOT HYPE,[],0,novelty,No
cohesive,9297327,This proposal seeks to identify the molecular basis of how cells are able to coordinate their polarity machinery to migrate as one cohesive group .,NOT HYPE,[],0,rigour,No
nuanced,9530142,"We have held the predecessor Center , and thus have a wealth of resources , experience , organization , and an established TRS network to step into Tool A seamlessly , to enhance and expand our initiatives , and to introduce nuanced , effective innovation in our approaches .",HYPE,"['gratuitous', 'coordinated']",1,rigour,Yes
first,9891599,Our proposed studies will generate the most comprehensive epigenomic and transcriptomic networks in a developing human tissue and for the first time identify the conserved regulatory architecture for building the mammalian orofacial complex .,HYPE,['priority claim'],1,novelty,No
detailed,9886541,This proposal seeks to determine the detailed molecular mechanisms that underlie transcriptional rewiring using unicellular yeasts as a model system .,HYPE,['gratuitous'],1,rigour,No
emerging,9204673,"Summary In 2014 , the outbreak of the Ebola virus ( EBOV ) in West Africa highlighted the need for broad-spectrum antiviral drugs for this and other emerging viruses .",NOT HYPE,[],0,novelty,No
first,9575766,"The Study , a longitudinal survey of Medicare beneficiaries , obtained the first nationally representative data on end -of - life care preferences and how preferences change over time .",HYPE,['priority claim'],1,novelty,Yes
strong,10080984,"So , there is an urgent need and strong commercialization potential for a product that enables Organization to serve as group leaders in resident - led activities .",HYPE,"['gratuitous', 'broader context']",1,rigour,Yes
emerging,9024519,Dr. A is an emerging leader in the field of diabetes and obesity research .,HYPE,['gratuitous'],1,novelty,Yes
reproducible,9407456,"As nonhuman primates ( NHPs ) share greater homology to humans than rodents in all respects , including genomics and physiology , cognitive processing , neuronal network complexity , white / gray matter ratios , dynamics of drug / target interactions , and the triggers of age - associated pathophysiology , the long - term goal of this project is to develop a new NHP model of AD that can be standardized and deployed in rigorous , reproducible studies to overcome critical current deficiencies in translating preclinical studies into novel clinical diagnostic strategies and therapies .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
groundbreaking,9293689,"In summary , this project will develop a decision aid and comprehensively examine DO- MoST as a novel and groundbreaking approach to providing a bridge between inpatient medical - surgical treatment and AUD treatment .",HYPE,"['hyperbolic', 'coordinated']",1,novelty,No
innovative,9488740,"Leveraging this specialized set of skills , technical knowledge and SCC infrastructure , the Organization enables rapid translation of innovative research ideas into cost - effective and highly disseminable applications .",HYPE,"['gratuitous', 'broader context']",1,novelty,Yes
revolutionary,9253909,"In short , Tool A will be a revolutionary platform for increasing the uptake , implementation , and evaluation of EBIs .",HYPE,['hyperbolic'],1,novelty,Yes
advanced,10155044,"We will combine big biomedical data from complementary sources , novel and advanced informatics models , clinical domain expertise , as well as biology knowledge and validation into a coherent framework to tackle AD / ADRD with potential combinatorial drug therapies .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
quality,9266553,This increase in quality data can help influence policy regarding antimicrobial use .,NOT HYPE,[],0,rigour,No
accurate,9772629,"We will achieve this by improving tumor characterization with accurate definition of its margin , localization and targeting of diseased tissue , and using image guidance technologies to optimize surgical and interventional treatments for improving outcomes and decreasing complications by reducing adjacent tissue damage .",HYPE,['gratuitous'],1,rigour,No
nuanced,9637537,"However , optimal policymaking requires a more nuanced understanding of the effects of MA .",HYPE,['gratuitous'],1,rigour,No
unparalleled,9241579,Such whole - community manipulations will offer unparalleled insight into the specific network patterns and traits that shape transmission in multi-host communities .,HYPE,['hyperbolic'],1,novelty,No
sophisticated,9581027,"Our approach and technology will provide sophisticated , highly - integrated 3D conformal therapy which is readily disseminated and is practical for mainstream acute care hospitals and outpatient surgery centers .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
groundbreaking,9721835,"Furthermore , in the independent phase , we will shift the approach utilizing the reduced uterine perfusion pressure mouse model of placental ischemia to a groundbreaking study of the role of leptin in hypertensive pregnancy .",HYPE,['hyperbolic'],1,novelty,No
creative,9261050,"In addition , the program will provide a creative training and scientific milieu facilitating career development to the next stage of the scholars ' research careers , either as independent researchers in academic , government , or private research laboratories , or as high - level translational team research scholars .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
scientific,9230475,"Tissue culture , cell biology , molecular biology , biochemical , chemical reagents , waste disposal Bioanalytical reagents / supplies LC/MS/ MS maintenance Animal costs107,775 TRAVEL travel to scientific meetings",NOT HYPE,[],0,rigour,No
emerging,9149331,RTMS is an emerging technique to non- invasively stimulate the cerebral cortex via the focal application of brief magnetic fields .,HYPE,['gratuitous'],1,novelty,No
unparalleled,9333880,Our multidisciplinary team has unparalleled access to human testis samples ( 207 samples archived to date with accrual ongoing ) .,HYPE,['hyperbolic'],1,novelty,No
advanced,9664035,"While there are several approved therapies for advanced renal cancer , the reality is that progress in the treatment of metastasis with systemic therapies has been incremental .",NOT HYPE,[],0,rigour,No
unprecedented,9185816,"These methods will provide an unprecedented characterization of parameters such as properties of spontaneous and evoked Ca2 + transients , resting membrane potential , dynamic changes in membrane potential , action potentials , and VGCC currents in developing limbs .",HYPE,"['hyperbolic', 'gratuitous']",1,novelty,No
rigorous,9800064,"Our goal is to provide patients , clinicians and researchers with the knowledge and rigorous and reproducible tools and standards that they need , to identify and obtain the best possible cells for use in regenerative and joint preservation therapies , drug discovery and basic research .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
revolutionary,9091857,This meniscal replacement could provide a revolutionary addition to the field of osteoarthritis and meniscal injury .,HYPE,['hyperbolic'],1,novelty,No
rigorous,9944911,"We now propose rigorous tests of these hypotheses : Under Aim 1 , we will determine the role of CGIs and CGI - bound factors in the spread of PRCs induced by lncRNAs .",HYPE,['gratuitous'],1,rigour,No
novel,9398728,"We will deliver a novel , comprehensive , user-friendly data annotation and curation system that is highly interconnected , encompassing the full cycle , and real - world practice , of required tasks and decisions , by all parties within the `bioassay annotation ecosystem ' ( researchers performing curation , dedicated curators , IT specialists , ontology owners , and librarians / repositories ) .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,novelty,No
nuanced,10158156,The proposed use of cross-species measures and parallel studies in both humans and rodents enables a more nuanced understanding of both the neurobiology and clinical applicability of the ECB system in BD .,HYPE,['gratuitous'],1,rigour,No
nuanced,9597783,A nuanced understanding of where naloxone delivery within SSPs falls along the four phases of the implementation process ?,HYPE,['gratuitous'],1,rigour,No
reproducible,9549767,"Our studies have demonstrated that the presence of human stuttering mutations causes reproducible alterations in mouse vocalizations , and that these alterations show parallels with the alterations present in the speech of individuals who stutter .",NOT HYPE,[],0,rigour,No
scientific,9888307,Modified Project Summary / Abstract Section Dr. A is an infectious disease physician with doctoral training in anthropology who is establishing himself as a young investigator in clinical and social scientific research of emerging infectious diseases such as Ebola virus and SARS - CoV - 2 .,NOT HYPE,[],0,rigour,Yes
powerful,9047538,"Building on our 25 - year track record in comprehensive genomic studies and addressing Institutions 's goal for this RFA , we propose to create , apply and test a powerful , reliable and general strategy for comprehensive identification of risk and protective variants that contribute significantly to any common disease of interest .",HYPE,"['gratuitous', 'coordinated']",1,rigour,Yes
rigorous,9901957,Achieving these goals will support the development of key skills and rigorous practices in line with the overarching goals as defined in the NIH strategic plan for data science .,HYPE,"['gratuitous', 'coordinated']",1,rigour,No
first,9730056,"Preliminary data suggest that apoptosis is required for a high - glucose diet to reduce hermaphrodite fertility , and in the first aim a physiological and genetic analysis will be used to understand which conserved apoptosis regulatory pathways modulate oocyte survival , and whether oocyte quality also declines on a high - glucose diet .",NOT HYPE,[],0,novelty,No
unique,9016103,Dementia-specific palliative care is needed to address the unique symptoms and treatment decisions relevant to this disease .,HYPE,['gratuitous'],1,novelty,No
creative,9120979,"The Conference on Creative Chemistry will bring together an outstanding and diverse cadre of more than 150 multidisciplinary scientists from around the world in academia , industry and government to spur innovation in the discovery and application of inorganic principles to advance human health by preventing , diagnosing and treating disease .",NOT HYPE,['broader context'],0,novelty,Yes
robust,9161309,"However , these markers cannot be developed into a robust , clinical assay due to the current limitations of technology : Needle biopsy specimens often contain only a small amount of cancer , and even when cut into thin sections , the employment of a 5 - probe assay is often simply not possible because of the limited capacity to multiplex conventional FISH probes .",NOT HYPE,[],0,rigour,No
unique,9617270,Hemispheric delineated damage underlying the SDH with striking sparing of the other hemisphere is an injury pattern unique to immaturity .,NOT HYPE,[],0,novelty,No
unprecedented,9106825,"Sequencing studies are becoming the standard approach in all areas of genetics , generating an unprecedented demand for computational methods to predict the functional effect of mutations .",HYPE,['hyperbolic'],1,novelty,No
creative,9005964,"In addition to providing an opportunity to discover basic mechanisms of aging , our work may also lead to creative intervention strategies that ameliorate aging - related functional decline in humans .",HYPE,['gratuitous'],1,novelty,No
creative,9119140,Their research is highly creative and is supported by five cores that provide innovative services and infrastructure .,HYPE,"['gratuitous', 'amplified']",1,novelty,No
accurate,9341800,Early and accurate diagnosis of anemia can reduce a need for complicated treatments .,HYPE,['gratuitous'],1,rigour,No
quality,9614181,A foundational principle of palliative care is quality pain management .,NOT HYPE,[],0,rigour,No
revolutionary,9013621,The successful development of this innovative genomic approach will provide a revolutionary tool in our studying of virulence mechanisms in C. neoformans .,HYPE,['hyperbolic'],1,novelty,No
unique,9790616,"Individuals possessing AD mutations are destined to develop the disease and at a relatively predictable age , thus providing a unique cohort in which to investigate the trajectories / timing of underlying AD pathologies , especially as one transitions from the preclinical / asymptomatic to the symptomatic stage .",HYPE,['gratuitous'],1,novelty,No
creative,9246583,PI qualifications : the PI is a prolific and creative bioengineer .,HYPE,"['gratuitous', 'coordinated']",1,novelty,No
latest,10028816,"Last but not least , the PI will develop new methodology to address the challenge of comparing traditional , physics - based models with noisy data obtained through the latest experimental technologies .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
unprecedented,9567279,"Furthermore , the large , well - defined cohort created in the first cycle ( SAGES I ) presents an unprecedented opportunity to explore long - term the relationship of delirium , cognitive decline , and Alzheimer 's disease , lending some urgency to this renewal .",HYPE,"['hyperbolic', 'broader context']",1,novelty,No
emerging,9069967,"An emerging interest in sleep and mood led her to pursue a postdoctoral fellowship at the University , where she began to develop a niche in behavioral sleep medicine and perinatal mental health .",NOT HYPE,[],0,novelty,Yes
novel,9257049,The results of these investigations will identify novel pathways for the treatment of cancer .,NOT HYPE,[],0,novelty,No
nuanced,9844785,"ability to employ fully effective , and nuanced experimental designs , and is a barrier to entry for other researchers .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
reproducible,9032811,"By the conclusion of this award , we will have a scalable and potentially reproducible intervention for infant feeding and screen time practices , one that is linguistically and culturally appropriate for Spanish -speaking Latino parents and aims to reduce weight gain in the first year of life while promoting habits that protect against obesity across the lifespan .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
sophisticated,9210690,"At the same time , sophisticated , integrative analyses across genome and proteome data require advanced bioinformatics tools and stringent quality control measures .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
quality,9594710,"Specifically , the Association has endorsed 15 key acute stroke performance measures that aim to improve the quality of stroke care , but the inefficient amount of time and money spent on excessive quality measurement could ultimately detract from the positive impact that could be realized by prioritizing a smaller number of the most cost - effective measures .",NOT HYPE,[],0,rigour,Yes
first,9412643,"The R21 in the first year will develop key resources needed for the pragmatic trial , such as provider decisional guidance based on current evidence , trial design and evaluation methodology , appropriate healthcare system administrative / EHR support , and will test intervention feasibility .",NOT HYPE,[],0,novelty,No
latest,10064393,The 2020 meeting will include a new session on structural biology for understanding the molecular mechanisms underlying circuit wiring and a new session on applications of the latest new technologies to accelerate the discovery in this important area of neurobiology .,HYPE,"['gratuitous', 'coordinated', 'broader context']",1,novelty,No
nuanced,9224421,"Results from this study will provide a more nuanced assessment of the complex social , behavioral , and genomic factors associated with ER - breast cancer .",NOT HYPE,[],0,rigour,No
accurate,9237315,The delineation of the molecular basis of KChIP2 regulation is essential for an accurate understanding of cardiac depolarization and repolarization and its implications with lethal ventricular arrhythmias .,HYPE,['gratuitous'],1,rigour,No
first,9779699,"On the basis of these results , we have initiated first - in-human clinical trials of hetIL - 15 in metastatic cancers and also in combination with anti-PD - 1 check point inhibitor ( collaboration with Company ) .",HYPE,['priority claim'],1,novelty,Yes
rigorous,9406673,Aim 1 ( Assessment ) seeks to ensure rigorous data acquisition procedures across sites and projects .,HYPE,['broader context'],1,rigour,No
rigorous,9410948,"The combination of a rigorous , innovative design ( e.g. , step - wedge community trials ) , strong theories , and a stellar team with community roots will ensure high impact .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
rigorous,9500888,"To realize the full potential of this strategy , we propose a rigorous research program that combines in silico , in vitro and in vivo approaches to evaluate the effectiveness and safety of the use of free - PEG in mice with high titers of APA for two PEGylated therapeutics , Therapeutic A and Therapeutic B .",HYPE,['gratuitous'],1,rigour,Yes
innovative,9840757,"Across different geographic areas , there are considerable differences in municipal water treatment technology and continuous development of innovative technologies , but little information is available on how this affects spatial patterns of metal concentrations in tap water .",HYPE,['gratuitous'],1,novelty,No
systematic,9405940,"Yet , systematic neurobehavioral research on novel techniques to improve the control of fear in humans has received limited attention .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
accurate,10195613,The end products of this project will include a high - throughput serology assay that gives far - richer antibody profiles than the current standard accompanied with an accurate predictive algorithm .,HYPE,"['gratuitous', 'broader context']",1,rigour,No
unprecedented,9612637,"Increasing organizational pressures for throughput , including strict time requirements for completion of documentation , have resulted in unprecedented cognitive and communication challenges for primary care clinicians as ? people work ? ( providing care ) and ? paper work ? ( EMR completion ) vie for attention in the exam room .",HYPE,['hyperbolic'],1,novelty,No
systematic,9252592,We believe the outcomes of the proposed studies will have a positive impact because the hippocampus - mediated processes constitute the foundation for the systematic study of the brain mechanisms of cognitive flexibility and the development of therapeutic strategies for neuro-psychiatric disorders .,HYPE,['gratuitous'],1,rigour,No
strong,9491203,"This program supports the goal of the NIH to build a strong clinician -scientist workforce to meet biomedical , behavioral and clinical research needs .",HYPE,['gratuitous'],1,rigour,No
innovative,9914209,"We will contribute to Center ?s goal of accelerating toward a cure by developing , importing and disseminating innovative statistical methods and informatics tools that will optimize resources .",HYPE,['gratuitous'],1,novelty,Yes
innovative,9639555,"This work is innovative : we will examine mitochondrial fusion , a novel pathway regulating platelet survival and function in health , during metabolic stress , and in transfused platelets .",NOT HYPE,[],0,novelty,No
latest,9801772,We will determine whether there is a minimum fraction of cyst cells that need to be targeted by reactivation to reverse ADPKD and determine the latest disease stage at which ADPKD retains reversibility .,NOT HYPE,[],0,novelty,No
quality,9307857,"To support the Consortium , we will establish databases with an application framework to facilitate complex data loading including detailed experimental descriptions and metadata ; we will define and establish pipelines that connect all Consortium members to the data , and create avenues of access that distribute the data to the greater biological research community ; we will establish metadata requirements , controlled vocabularies , standardized data formats , and quality control metrics for all Consortium data ; we will bring together laboratories that generate complex data types via experimental assays with laboratories that integrate these data using computational tools to define the epigenomic programs in the context of environmental exposure .",NOT HYPE,[],0,rigour,Yes
cohesive,9280239,"To achieve this goal , we will expand the number of research experiences available to these students and to integrate the research education programs in our college into a cohesive program .",HYPE,['gratuitous'],1,rigour,No
groundbreaking,9082878,"Indeed , our groundbreaking studies in the model eukaryote , Saccharomyces cerevisiae , identified SOD1 as a redox regulator of a signaling circuit that integrates nutrient availability to the control of enrgy metabolism ( Reddi and Culotta , Cell 2013 ) .",HYPE,['hyperbolic'],1,novelty,
unprecedented,9856078,"As our nation is facing unprecedented epidemics of obesity , diabetes and their cardiovascular consequences , the Training Program proposed in the present application is uniquely positioned to train an interdisciplinary workforce of academic and industry investigators , as well as government decision makers , to address the roles of sleep disturbances and circadian dysfunction in these public health challenges .",HYPE,"['hyperbolic', 'broader context']",1,novelty,No
quality,9622228,Quality assurance and validation data ( both clinical and non-clinical ) obtained from these studies will support 510 ( k ) regulatory filing for the body coil support platform as an accessory to the BCL device .,NOT HYPE,[],0,rigour,
revolutionary,9363118,CLARITY is a revolutionary new system that can see inside post- mortem tissue .,HYPE,"['hyperbolic', 'coordinated', 'gratuitous']",1,novelty,
sophisticated,9198870,"State - of the art microarrays , Laser Capture Microdissection ( LCM ) , as well as sophisticated and innovative global transcriptome analysis using Systems Biology will be employed .",HYPE,"['gratuitous', 'coordinated']",1,rigour,
quality,10177805,"The addition of additional target organisms and improvement of laboratory techniques , such as the extension of whole genome sequencing to additional organisms , will permit higher quality information and increased ability to identify related cases or outbreaks in the past , at present , and in the future .",NOT HYPE,[],0,rigour,No
reproducible,9500652,"Upon successful validation , Method A will provide accurate , repeatable , and reproducible quantification of LIC based on a fundamental property of tissue .",HYPE,"['gratuitous', 'coordinated']",1,rigour,Yes
revolutionary,9032712,Confirmation of this revolutionary new hypothesis and the demonstration of PRIMPOL 's essential role in this process are expected to open important new avenues in our understanding of the mechanism of mammalian ICL repair .,HYPE,"['hyperbolic', 'broader context']",1,novelty,No
careful,9145279,"Our research approach is guided by two principles ( 1 ) careful adherence to Project protocols so as to develop large -scale , integrated , and growing data sets available to the scientific community , and ( 2 ) a research approach aligned with two constructs from the Project , specifically : ( a ) the Acute Threat / Fear construct , which is associated with atypical structure and function in specific neural networks , especially amygdala , orbitofrontal cortex ( OFC ) , and ventral medial prefrontal cortex ( vmPFC ) ; and ( b ) the Reward Prediction Error construct , which is associated with OFC , ventral striatum , and the midbrain ventral tegmental area .",HYPE,['gratuitous'],1,rigour,Yes
latest,10019966,The latest project is being conducted in cooperation with staff at the School .,NOT HYPE,[],0,novelty,Yes
nuanced,9119852,"The proposed studies will thus spur the development of more nuanced views of language acquisition , and provide critical information for evaluating and improving such models .",HYPE,['gratuitous'],1,rigour,No
strong,9997406,"This premise has been formulated on the basis of strong empirical and theoretical support , as well as recent findings produced by the applicant .",HYPE,['gratuitous'],1,rigour,No
careful,9356453,"Information derived by a careful , data - based analysis that includes the burden of multimorbidity and polypharmacy in PLWHC will have many uses .",HYPE,['gratuitous'],1,rigour,No
unprecedented,9170895,These ?snapshots ? of AID footprints on single molecules should provide unprecedented insight into the mechanism by which AID - generated uracils are processed into DSBs ( which are important CSR immediates ) during CSR .,HYPE,['hyperbolic'],1,novelty,No
sophisticated,9063627,"We are equipped with sophisticated mouse models and innovative approaches that allow us to address these questions in vitro and in vivo at the subcellular , cellular , and network levels .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
cohesive,9248630,"Thus , this administrative core will serve an essential cohesive function to coordinate all project and core investigators and activities in this program .",HYPE,['gratuitous'],1,rigour,No
advanced,9555709,"We are also collaborating with Dr. A of the University A and Dr. B and Dr. C , to implement state - of - the -art , real - time eye tracking capabilities for adaptive optics retinal imaging , as well as with Dr. D of the Institution A to explore complementary advanced imaging modalities compatible with adaptive optics .",HYPE,['gratuitous'],1,rigour,Yes
unprecedented,10068111,"In this proposal , we aim to combine Method A and Method B to achieve unprecedented levels of expansion in a process we call Method C .",HYPE,['hyperbolic'],1,novelty,Yes
scientific,9362393,Another target for genetic mutations in LCA is molecular chaperone CCT2  .,NOT HYPE,[],0,rigour,Yes
quality,9448680,"With this in hand , we are now uniquely positioned to map how transgenerational passage of high - quality mtDNA molecules is accomplished .",NOT HYPE,[],0,rigour,No
reproducible,9363134,We propose to develop and run robust and reproducible high content assay ( s ) for screening against intracellular Mtb .,HYPE,"['gratuitous', 'coordinated']",1,rigour,No
unique,10268335,The availability of blood samples from a cohort of hematopoietic cell transplant patients with CMV reactivation provides the unique opportunity to examine the NK and T cell repertoire in the setting of CMV infection .,HYPE,['gratuitous'],1,novelty,No
advanced,9070648,"Despite recent advances with targeted drugs like Drug A , the prognosis for HCC patients with advanced disease remains poor , highlighting the urgent need for new therapies .",NOT HYPE,[],0,rigour,Yes
groundbreaking,9178726,"For instance , new ground breaking studies have identified a major role for Pol ? in error-prone DNA repair and tie this function to the survival of cancers mutated in BRCA1 or BRCA2 ( BRCA1 / 2 ) tumor suppressor genes .",HYPE,['hyperbolic'],1,novelty,No
latest,9332975,"The specific aims are : 1 ) to develop a sensitivity enhancing strategy with the latest 64 - channel coil array and a novel coil proximity weighted parallel MR spectroscopy data acquisition and combination for 2D COSY ; 2 ) to test , optimize and implement the developed method and to develop in - line data processing toolbox for processing and analyzing 2D COSY data on the clinical scanner ; and 3 ) to test and validate the developed 2D COSY platform for genetically profiling gliomas using 2 - HG as a marker and detecting other metabolites in patients .",HYPE,['gratuitous'],1,novelty,No
advanced,9161996,"His scientific advisors include Dr. A , a leading expert in using Institution data for aging research , and Dr. B , an expert in advanced biostatics .",HYPE,['gratuitous'],1,rigour,Yes
sophisticated,9341867,"Powered by a high - performance workstation containing dual quad - core processors , and a sophisticated Quadro 5000 Graphics Card .",HYPE,['gratuitous'],1,rigour,No
careful,9250166,"Through careful mechanistic analysis , new insights will be provided to guide general strategies toward this objective in a broad range of contexts .",HYPE,['gratuitous'],1,rigour,No
robust,9603944,"New antifungals with robust activity against a broad spectrum of pathogens , minimal susceptibility to resistance , and limited side effects are needed .",NOT HYPE,[],0,rigour,No
strong,9704516,"Our required internship experience provides trainees with hands - on exposure to industrial or regulatory science work environments , and provides strong networking opportunities .",HYPE,['gratuitous'],1,rigour,No
robust,9601503,"We have exploited these properties of vaults to elicit robust immune responses in several systems , including a mouse model of mucosal infection by intracellular Chlamydia , which like Bp , is an intracellular pathogen .",NOT HYPE,[],0,rigour,No
strong,9330664,"We expect that emphasis on therapeutic treatment of autoimmune disease will attract both basic and industry scientists , and will stimulate strong interest among both junior and established investigators .",HYPE,['gratuitous'],1,rigour,No
robust,9114455,"An accurate , reliable , robust , and safe personal - use seating pressure system available to wheelchair users with SCI has the potential to prevent ulcers via real - time visual biofeedback , facilitate remote monitoring of skin health , and limit unnecessary medical visits .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
quality,10015066,"The Core continues to be a leader of flow cytometry service at the Institution A by offering the highest quality , reliable support to the largest number of Institution B investigators on campus and is dedicated to the introduction of innovative flow cytometry - based technologies to further advance the cutting - edge cancer research conducted at Institution C .",HYPE,"['gratuitous', 'coordinated', 'amplified', 'broader context']",1,rigour,Yes
powerful,9499110,"This proposal is motivated by the need to assess microscopic viscoelastic properties , which have emerged as a powerful biomarker for a number of diseases , such as cancer , atherosclerosis , sickle cell disease , etc. , but also have been identified as a driving force for many biological processes , such as carcinogenesis , angiogenesis , morphogenesis , etc .",HYPE,['gratuitous'],1,rigour,No
careful,9626783,"Aim 3 : Acquire and maintain clinical data associated with each sample : Accurate and comprehensive clinical pathological annotation will be linked to each sample , including careful assessment of the patients ' outcomes .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
